i_gru,n_m,Ra,dec,z,thete_g ,mu,sigv,r_b,flag,rabs1,d_ij,tcr,rp,rabs2,Target,ngc,pasiva
1,4,114.84200000000001,45.103,0.078292,2.62,25.018,348.67900000000003,14.719000000000001,0,-22.375,0.1433106,0.0372745,87.75659940000001,-20.608,Field,1,3
2,4,116.57700000000001,22.02,0.046817000000000004,4.09,25.289,274.092,14.289000000000001,0,-21.511999999999997,0.0923132,0.030543999999999998,82.5437088,-20.895,Loose,2,4
3,4,117.288,21.761999999999997,0.024475999999999998,9.769,26.134,136.7,13.359000000000002,0,-21.046999999999997,0.1754406,0.1163915,103.6088181,-20.805999999999997,Field,3,3
4,5,117.794,50.217,0.02181,5.095,23.789,409.80300000000005,12.839,0,-21.235,0.055581500000000006,0.012300299999999998,48.1768188,-21.206999999999997,Loose,4,5
5,4,118.709,45.713,0.053666,1.065,22.685,515.812,14.645,0,-21.496,0.034045099999999995,0.0059858,24.5974789,-20.963,Node,5,4
6,4,119.19,45.886,0.054922000000000006,1.2,22.296999999999997,461.528,14.072000000000001,0,-22.218000000000004,0.0346101,0.0068009,28.3622646,-22.014,Loose,6,3
7,4,119.959,18.425,0.042135,3.2910000000000004,25.048000000000002,393.528,14.272,0,-21.333000000000002,0.09177260000000001,0.0211493,59.8356705,-20.062,Field,7,4
8,4,119.969,24.037,0.047932,3.174,24.845,125.70299999999999,14.302999999999999,0,-21.593000000000004,0.08846760000000001,0.0638258,65.5742416,-20.313,Field,8,1
9,4,120.355,27.24,0.048037,4.784,25.241999999999997,356.045,13.942,0,-21.989,0.14423370000000002,0.0367385,99.0294037,-21.445999999999998,Loose,9,4
10,6,120.491,9.561,0.016655,22.096,26.218000000000004,297.232,11.470999999999998,0,-22.052,0.1349445,0.0411736,159.7374115,-20.325,Loose,10,6
11,4,120.762,39.900999999999996,0.041514999999999996,3.908,24.733,163.667,13.968,0,-21.635,0.095052,0.05266950000000001,70.0198135,-21.021,Node,11,3
12,4,120.805,8.23,0.051395,5.07,25.534000000000002,364.532,14.014000000000001,0,-22.098000000000003,0.1508181,0.0375213,112.21070859999999,-21.177,Field,12,3
13,6,121.292,46.72,0.023119,9.662,26.291999999999998,176.8,13.210999999999999,0,-21.055999999999997,0.0509038,0.0261112,96.8225479,-18.921,Field,13,5
14,4,121.367,37.543,0.034293000000000004,2.042,23.211,167.12400000000002,13.76,0,-21.39,0.0386983,0.020999599999999997,30.2696781,-21.142,Loose,14,3
15,8,121.735,19.795,0.038854,9.607999999999999,26.325,480.834,13.744000000000002,0,-21.629,0.1606122,0.030293,161.22663880000002,-20.906,Field,15,7
16,6,122.056,9.029,0.053545,3.489,24.517,148.746,13.972000000000001,0,-22.18,0.0810424,0.0494114,80.3946228,-21.228,Loose,16,4
17,4,123.478,9.701,0.052687,2.495,24.84,281.363,14.602,0,-21.537,0.06952739999999999,0.0224104,56.5878448,-19.613,Loose,17,4
18,4,124.236,27.607,0.040713,5.506,26.195,67.99,14.579,0,-20.958000000000002,0.128621,0.1715629,96.7738037,-20.526999999999997,Field,18,2
19,7,125.295,35.802,0.061716,6.357,25.997,436.32300000000004,14.140999999999998,0,-22.379,0.16935029999999998,0.0351995,168.52096559999998,-21.42,Loose,19,6
20,4,125.926,21.38,0.018345,6.647,25.061999999999998,175.74900000000002,13.012,0,-20.686,0.0913776,0.0471526,52.9054184,-20.002,Loose,20,1
21,4,126.573,17.36,0.066737,4.854,26.245,257.58099999999996,14.73,0,-21.921999999999997,0.1667616,0.0587141,138.98123169999997,-20.889,Loose,21,0
22,8,126.77799999999999,18.005,0.058495000000000005,4.348,25.199,338.741,14.635,0,-21.743000000000002,0.0972077,0.0260251,109.3269882,-21.068,Field,22,6
23,4,127.656,58.059,0.046261000000000004,2.673,24.961,205.94099999999997,14.610999999999999,0,-21.248,0.05671709999999999,0.0249764,53.31942370000001,-19.637,Loose,23,4
24,4,127.927,39.668,0.05786,1.7480000000000002,23.791,361.103,14.755999999999998,0,-21.59,0.045568300000000006,0.0114443,43.4886665,-20.891,Field,24,4
25,4,128.713,44.633,0.037984,5.716,26.183000000000003,144.009,14.213,0,-21.174,0.0987712,0.062201400000000004,93.78479770000001,-20.008,Field,25,2
26,4,129.08700000000002,54.008,0.031324,5.409,25.828000000000003,231.775,13.863,0,-21.051,0.11411019999999998,0.0446495,73.3005753,-19.007,Field,26,2
27,4,129.942,52.994,0.046097000000000006,4.803,26.004,290.46299999999997,14.717,0,-21.033,0.1373967,0.0428987,95.4657288,-20.862,Loose,27,2
28,4,130.625,52.782,0.045514,5.593,25.405,116.48100000000001,13.422,0,-22.346999999999998,0.12305739999999998,0.09581010000000001,109.75809479999998,-20.824,Field,28,2
29,4,130.857,36.219,0.053917999999999994,3.958,25.084,263.107,14.296,0,-21.872,0.1239636,0.0427289,91.8429184,-21.753,FIl,29,3
30,5,131.451,53.977,0.030976999999999998,5.341,25.21,156.946,13.549000000000001,0,-21.406,0.056094200000000004,0.0324135,71.59270479999999,-19.882,Field,30,5
31,4,132.507,2.611,0.06046699999999999,5.496,26.174,133.067,14.202,0,-22.226,0.177892,0.12123980000000001,142.776413,-20.575,Field,31,4
32,5,132.59799999999998,55.398999999999994,0.031201999999999997,8.708,25.984,224.19400000000002,13.231,0,-21.704,0.1128106,0.0456336,117.5636139,-20.385,Field,32,5
33,4,132.68200000000002,1.325,0.043193,3.089,24.393,68.035,14.110999999999999,0,-21.581999999999997,0.0587221,0.0782761,57.5590134,-20.826,Field,33,2
34,4,134.102,14.547,0.071076,3.911,25.676,357.531,14.425,0,-22.404,0.1517185,0.0384843,119.1261139,-20.395,Node,34,4
35,5,134.28,39.994,0.097295,3.444,25.441,229.078,14.595999999999998,0,-22.969,0.167944,0.0664877,142.6985016,-21.58,Loose,35,5
36,4,134.55200000000002,17.577,0.049512,6.109,26.139,295.97,13.943,0,-22.055,0.17773350000000002,0.054460400000000006,130.29710390000002,-20.177,Field,36,2
37,5,136.24,17.455,0.029005,3.758,24.103,335.04699999999997,13.13,0,-21.714000000000002,0.0502642,0.0136054,47.186981200000005,-20.146,Field,37,4
38,5,136.27200000000002,18.362000000000002,0.01489,17.543,26.081999999999997,397.75699999999995,11.829,0,-21.456,0.15336770000000002,0.034968400000000004,113.4161606,-19.989,Loose,38,4
39,4,136.311,28.256999999999998,0.027658999999999996,3.8289999999999997,25.111,112.488,13.933,0,-20.723000000000003,0.05825399999999999,0.0469653,45.858081799999994,-19.082,Loose,39,3
40,5,137.51,50.358000000000004,0.016991,13.107000000000001,25.779,179.537,12.630999999999998,0,-20.897,0.1003957,0.050713,96.6575699,-20.844,Field,40,5
41,4,138.94899999999998,10.162,0.031755,5.768,25.499000000000002,149.689,13.687999999999999,0,-21.325,0.08282289999999999,0.0501787,79.237236,-20.725,Loose,41,2
42,4,139.129,30.866999999999997,0.024047,8.376,25.509,73.143,12.779000000000002,0,-21.566,0.09017489999999999,0.1118077,87.2886276,-20.064,FIl,42,4
43,4,139.185,27.366999999999997,0.047856,2.571,24.644000000000002,432.80800000000005,14.584000000000001,0,-21.343000000000004,0.062257799999999995,0.0130454,53.01718520000001,-20.660999999999998,Field,43,1
